combat,time,round,actor,action,target,damage,actor_PV,target_PV
24,2025-11-06T09:28:13.373,3,Hussin,attack,Jed,17,36,0
25,2025-11-06T09:28:13.373,1,Jed,skill,Hussin,33,100,87
25,2025-11-06T09:28:13.374,1,Hussin,attack,Jed,25,87,75
25,2025-11-06T09:28:13.374,2,Jed,skill,Hussin,32,75,55
25,2025-11-06T09:28:13.375,2,Hussin,attack,Jed,27,55,48
25,2025-11-06T09:28:13.375,3,Jed,attack,Hussin,14,48,41
25,2025-11-06T09:28:13.376,3,Hussin,attack,Jed,30,41,18
25,2025-11-06T09:28:13.376,4,Jed,attack,Hussin,13,18,28
25,2025-11-06T09:28:13.377,4,Hussin,attack,Jed,18,28,0
26,2025-11-06T09:28:13.377,1,Jed,skill,Hussin,36,100,84
26,2025-11-06T09:28:13.378,1,Hussin,attack,Jed,23,84,77
26,2025-11-06T09:28:13.378,2,Jed,skill,Hussin,77,77,7
26,2025-11-06T09:28:13.379,2,Hussin,attack,Jed,28,7,49
26,2025-11-06T09:28:13.379,3,Jed,attack,Hussin,7,49,0
27,2025-11-06T09:28:13.38,1,Jed,skill,Hussin,35,100,85
27,2025-11-06T09:28:13.381,1,Hussin,attack,Jed,30,85,70
27,2025-11-06T09:28:13.381,2,Jed,skill,Hussin,38,70,47
27,2025-11-06T09:28:13.381,2,Hussin,attack,Jed,35,47,35
27,2025-11-06T09:28:13.382,3,Jed,attack,Hussin,12,35,35
27,2025-11-06T09:28:13.382,3,Hussin,attack,Jed,29,35,6
27,2025-11-06T09:28:13.382,4,Jed,attack,Hussin,19,6,16
27,2025-11-06T09:28:13.383,4,Hussin,skill,Jed,6,16,0
28,2025-11-06T09:28:13.383,1,Jed,skill,Hussin,31,100,89
28,2025-11-06T09:28:13.384,1,Hussin,attack,Jed,26,89,74
28,2025-11-06T09:28:13.384,2,Jed,skill,Hussin,34,74,55
28,2025-11-06T09:28:13.384,2,Hussin,attack,Jed,31,55,43
28,2025-11-06T09:28:13.385,3,Jed,attack,Hussin,19,43,36
28,2025-11-06T09:28:13.386,3,Hussin,attack,Jed,36,36,7
28,2025-11-06T09:28:13.387,4,Jed,attack,Hussin,18,7,18
28,2025-11-06T09:28:13.387,4,Hussin,attack,Jed,7,18,0
29,2025-11-06T09:28:13.388,1,Jed,skill,Hussin,35,100,85
29,2025-11-06T09:28:13.389,1,Hussin,skill,Jed,39,85,61
29,2025-11-06T09:28:13.39,2,Jed,skill,Hussin,33,61,52
29,2025-11-06T09:28:13.39,2,Hussin,attack,Jed,36,52,25
29,2025-11-06T09:28:13.391,3,Jed,attack,Hussin,9,25,43
29,2025-11-06T09:28:13.391,3,Hussin,attack,Jed,24,43,1
29,2025-11-06T09:28:13.391,4,Jed,attack,Hussin,32,1,11
29,2025-11-06T09:28:13.392,4,Hussin,attack,Jed,1,11,0
30,2025-11-06T09:28:13.393,1,Jed,skill,Hussin,33,100,87
30,2025-11-06T09:28:13.393,1,Hussin,attack,Jed,28,87,72
30,2025-11-06T09:28:13.393,2,Jed,skill,Hussin,35,72,52
30,2025-11-06T09:28:13.394,2,Hussin,skill,Jed,38,52,34
30,2025-11-06T09:28:13.394,3,Jed,attack,Hussin,13,34,39
30,2025-11-06T09:28:13.394,3,Hussin,attack,Jed,28,39,6
30,2025-11-06T09:28:13.395,4,Jed,attack,Hussin,14,6,25
30,2025-11-06T09:28:13.395,4,Hussin,attack,Jed,6,25,0
31,2025-11-06T09:28:13.395,1,Jed,skill,Hussin,38,100,82
31,2025-11-06T09:28:13.396,1,Hussin,attack,Jed,37,82,63
